phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
confirmation,7,5,0.041433359282338926,0.945,null_statistics/batch-7-replication-5.npy,batch-null-confirmation,10857175691797424495,1352778693829230330,471340240288407331,0.2734502999956021,,,batch-null-confirmation-20260821-001
confirmation,7,6,0.05528064583386452,0.405,null_statistics/batch-7-replication-6.npy,batch-null-confirmation,8988504340349021043,165475627422780939,3960474101161277748,0.28390229999786243,,,batch-null-confirmation-20260821-001
confirmation,7,7,0.09768595836764495,0.01,null_statistics/batch-7-replication-7.npy,batch-null-confirmation,17028649445761770788,5111531911174027078,7745439856935477796,0.27405959999305196,,,batch-null-confirmation-20260821-001
confirmation,7,8,0.05453069290060041,0.46,null_statistics/batch-7-replication-8.npy,batch-null-confirmation,9428110095987618467,11458365673702819071,15982821337700095884,0.2887330999947153,,,batch-null-confirmation-20260821-001
confirmation,7,9,0.0371569192643844,0.995,null_statistics/batch-7-replication-9.npy,batch-null-confirmation,10313335322850542099,5850447430502607853,11286160480040434270,0.29711139999562874,,,batch-null-confirmation-20260821-001
confirmation,8,0,0.0689792589991727,0.12,null_statistics/batch-8-replication-0.npy,batch-null-confirmation,1509464509013153201,5362735406371449427,12925733218576160571,0.2855639999906998,,,batch-null-confirmation-20260821-001
confirmation,8,1,0.050116869944535423,0.615,null_statistics/batch-8-replication-1.npy,batch-null-confirmation,10757828645731450663,455985965631072005,7849834359381826106,0.2883231000014348,,,batch-null-confirmation-20260821-001
confirmation,8,2,0.05992619780149352,0.285,null_statistics/batch-8-replication-2.npy,batch-null-confirmation,8228160628977512767,11176667427242784352,18431461745482493279,0.2805021000094712,,,batch-null-confirmation-20260821-001
confirmation,8,3,0.05216996079242005,0.53,null_statistics/batch-8-replication-3.npy,batch-null-confirmation,15214774141618756943,859420460546090179,1498474037050205285,0.28449219999311026,,,batch-null-confirmation-20260821-001
confirmation,8,4,0.05802772385623766,0.27,null_statistics/batch-8-replication-4.npy,batch-null-confirmation,6136801019696485330,10267642120538117537,3815072071445677646,0.26680820000183303,,,batch-null-confirmation-20260821-001
confirmation,8,5,0.07923815194419846,0.04,null_statistics/batch-8-replication-5.npy,batch-null-confirmation,1582918966521296226,5318740258495777014,18035366435966164021,0.27469720000226516,,,batch-null-confirmation-20260821-001
confirmation,8,6,0.08451934176422328,0.03,null_statistics/batch-8-replication-6.npy,batch-null-confirmation,1817341323517078403,16507022224179531595,14429549921042807431,0.28450409999641124,,,batch-null-confirmation-20260821-001
confirmation,8,7,0.06869422889685596,0.125,null_statistics/batch-8-replication-7.npy,batch-null-confirmation,1013597073205545431,15121751320908252356,15226759855983263450,0.2983371000009356,,,batch-null-confirmation-20260821-001
confirmation,8,8,0.04556458942213991,0.755,null_statistics/batch-8-replication-8.npy,batch-null-confirmation,3500750190121634207,17036599096422715150,11515017183028649505,0.28702839999459684,,,batch-null-confirmation-20260821-001
confirmation,8,9,0.055159485057395985,0.37,null_statistics/batch-8-replication-9.npy,batch-null-confirmation,14872372535651937026,3326805968258663780,14077663062136764797,0.2719331000116654,,,batch-null-confirmation-20260821-001
confirmation,9,0,0.049279157526756816,0.62,null_statistics/batch-9-replication-0.npy,batch-null-confirmation,4317967311286582004,5184535128055211244,9828245628170524126,0.2879110999929253,,,batch-null-confirmation-20260821-001
confirmation,9,1,0.05185364156400085,0.61,null_statistics/batch-9-replication-1.npy,batch-null-confirmation,1067135581945391892,10092218550882399863,4496654898541051844,0.2799535999947693,,,batch-null-confirmation-20260821-001
confirmation,9,2,0.05242000359167168,0.53,null_statistics/batch-9-replication-2.npy,batch-null-confirmation,12029839483932895427,18101719073793832836,1987020570415914546,0.29253209999296814,,,batch-null-confirmation-20260821-001
confirmation,9,3,0.06449946288712538,0.21,null_statistics/batch-9-replication-3.npy,batch-null-confirmation,3965123201020594300,15358750526267783071,5809787989857235852,0.2814386999962153,,,batch-null-confirmation-20260821-001
